age,year,seasonality,Annual_EIR,pmc_mode,pmc_coverage,rtss_coverage,cm_coverage,pmc_rtss_cov,name,mean_val,median_val,low_val,up_val,min_val,max_val,pmc_mode_fct,yint,yint_min
7,1,season1,32,"RTS,S",0,0.8,0.6,0-0.8,clinical_cases,0.231111111111111,0,0,1.73333333333333,0,1.73333333333333,"RTS,S",110,0
7,1,season1,32,"RTS,S",0,0.8,0.6,0-0.8,PE_clinical_incidence,,,0,0,,,"RTS,S",1.5,0
7,1,season1,32,"RTS,S",0,0.8,0.6,0-0.8,PE_severe_incidence,,,,,,,"RTS,S",1.5,0
7,1,season1,32,"RTS,S",0,0.8,0.6,0-0.8,severe_cases,0,0,0,0,0,0,"RTS,S",1.5,0
7,1,season1,32,3tp,0.8,0,0.6,0.8-0,clinical_cases,1.24222222222222,1.73333333333333,0,3.46666666666667,0,3.46666666666667,PMC-3,110,0
7,1,season1,32,3tp,0.8,0,0.6,0.8-0,PE_clinical_incidence,,,-Inf,0,,,PMC-3,1.5,0
7,1,season1,32,3tp,0.8,0,0.6,0.8-0,PE_severe_incidence,,,,,,,PMC-3,1.5,0
7,1,season1,32,3tp,0.8,0,0.6,0.8-0,severe_cases,0,0,0,0,0,0,PMC-3,1.5,0
7,1,season1,32,3tp,0.8,0.8,0.6,0.8-0.8,clinical_cases,1.24222222222222,1.73333333333333,0,3.46666666666667,0,3.46666666666667,"PMC-3+RTS,S",110,0
7,1,season1,32,3tp,0.8,0.8,0.6,0.8-0.8,PE_clinical_incidence,,,-Inf,0,,,"PMC-3+RTS,S",1.5,0
7,1,season1,32,3tp,0.8,0.8,0.6,0.8-0.8,PE_severe_incidence,,,,,,,"PMC-3+RTS,S",1.5,0
7,1,season1,32,3tp,0.8,0.8,0.6,0.8-0.8,severe_cases,0,0,0,0,0,0,"PMC-3+RTS,S",1.5,0
7,1,season1,32,4tp2ndyr,0.8,0,0.6,0.8-0,clinical_cases,1.24222222222222,1.73333333333333,0,3.46666666666667,0,3.46666666666667,PMC-4,110,0
7,1,season1,32,4tp2ndyr,0.8,0,0.6,0.8-0,PE_clinical_incidence,,,-Inf,0,,,PMC-4,1.5,0
7,1,season1,32,4tp2ndyr,0.8,0,0.6,0.8-0,PE_severe_incidence,,,,,,,PMC-4,1.5,0
7,1,season1,32,4tp2ndyr,0.8,0,0.6,0.8-0,severe_cases,0,0,0,0,0,0,PMC-4,1.5,0
7,1,season1,32,5tp2ndyr,0.8,0,0.6,0.8-0,clinical_cases,1.24222222222222,1.73333333333333,0,3.46666666666667,0,3.46666666666667,PMC-5,110,0
7,1,season1,32,5tp2ndyr,0.8,0,0.6,0.8-0,PE_clinical_incidence,,,-Inf,0,,,PMC-5,1.5,0
7,1,season1,32,5tp2ndyr,0.8,0,0.6,0.8-0,PE_severe_incidence,,,,,,,PMC-5,1.5,0
7,1,season1,32,5tp2ndyr,0.8,0,0.6,0.8-0,severe_cases,0,0,0,0,0,0,PMC-5,1.5,0
7,1,season1,32,6tp2ndyr,0.8,0,0.6,0.8-0,clinical_cases,1.24222222222222,1.73333333333333,0,3.46666666666667,0,3.46666666666667,PMC-6,110,0
7,1,season1,32,6tp2ndyr,0.8,0,0.6,0.8-0,PE_clinical_incidence,,,-Inf,0,,,PMC-6,1.5,0
7,1,season1,32,6tp2ndyr,0.8,0,0.6,0.8-0,PE_severe_incidence,,,,,,,PMC-6,1.5,0
7,1,season1,32,6tp2ndyr,0.8,0,0.6,0.8-0,severe_cases,0,0,0,0,0,0,PMC-6,1.5,0
7,1,season1,32,7tp2ndyr,0.8,0,0.6,0.8-0,clinical_cases,1.24222222222222,1.73333333333333,0,3.46666666666667,0,3.46666666666667,PMC-7,110,0
7,1,season1,32,7tp2ndyr,0.8,0,0.6,0.8-0,PE_clinical_incidence,,,-Inf,0,,,PMC-7,1.5,0
7,1,season1,32,7tp2ndyr,0.8,0,0.6,0.8-0,PE_severe_incidence,,,,,,,PMC-7,1.5,0
